precision,recall,f1-score,ratio,fname
0.823,0.582,0.682,0.1,annotate.It_W1_S1.0_R1_10_1.f1
0.834,0.591,0.692,0.1,annotate.It_W1_S1.0_R1_10_10.f1
0.836,0.585,0.688,0.2,annotate.It_W1_S1.0_R1_10_2.f1
0.838,0.583,0.688,0.3,annotate.It_W1_S1.0_R1_10_3.f1
0.834,0.589,0.690,0.4,annotate.It_W1_S1.0_R1_10_4.f1
0.834,0.587,0.689,0.5,annotate.It_W1_S1.0_R1_10_5.f1
0.836,0.590,0.691,0.6,annotate.It_W1_S1.0_R1_10_6.f1
0.835,0.589,0.691,0.7,annotate.It_W1_S1.0_R1_10_7.f1
0.834,0.590,0.691,0.8,annotate.It_W1_S1.0_R1_10_8.f1
0.837,0.591,0.693,0.9,annotate.It_W1_S1.0_R1_10_9.f1
0.000,0.000,0.000,0.1,annotate.Scratch_W1_S0.1_R1.f1
0.000,0.000,0.000,0.2,annotate.Scratch_W1_S0.2_R1.f1
0.043,0.001,0.002,0.3,annotate.Scratch_W1_S0.3_R1.f1
0.500,0.000,0.001,0.4,annotate.Scratch_W1_S0.4_R1.f1
0.680,0.290,0.407,0.5,annotate.Scratch_W1_S0.5_R1.f1
0.762,0.726,0.743,0.6,annotate.Scratch_W1_S0.6_R1.f1
0.782,0.787,0.784,0.7,annotate.Scratch_W1_S0.7_R1.f1
0.782,0.800,0.791,0.8,annotate.Scratch_W1_S0.8_R1.f1
0.777,0.821,0.798,0.9,annotate.Scratch_W1_S0.9_R1.f1
0.784,0.850,0.815,1.0,annotate.Scratch_W1_S1.0_R1.f1
0.798,0.556,0.655,0.1,annotate.W1_S0.1_R1.f1
0.836,0.585,0.688,0.2,annotate.W1_S0.2_R1.f1
0.875,0.592,0.706,0.3,annotate.W1_S0.3_R1.f1
0.844,0.658,0.740,0.4,annotate.W1_S0.4_R1.f1
0.800,0.667,0.728,0.5,annotate.W1_S0.5_R1.f1
0.800,0.802,0.801,0.6,annotate.W1_S0.6_R1.f1
0.803,0.796,0.800,0.7,annotate.W1_S0.7_R1.f1
0.798,0.816,0.807,0.8,annotate.W1_S0.8_R1.f1
0.793,0.793,0.793,0.9,annotate.W1_S0.9_R1.f1
0.794,0.818,0.806,1.0,annotate.W1_S1.0_R1.f1
0.708,0.520,0.599,1.0,annotate.f1
